,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2021/2/19,42,21,30,19,46,0.014988887,0.01660766,0.009675426,0.018622883,0.011835261,0.001813334,0.013446135,0.010021927,-0.001610874,-0.001610874,1.000925575,1.107855833,1.587425404,1.276529679,1.977839844
2021/2/22,42,21,30,19,46,0.012545627,0.013887514,0.008655887,0.004919443,0.014438832,-0.031409418,-0.006924761,0.04584825,0.021363593,0.021363593,1.013482813,1.123241196,1.60116598,1.282809493,2.006397541
2021/2/23,42,21,30,19,46,-0.005713696,-0.004399599,-0.007352173,-0.006432042,-0.006984302,-0.003155076,-0.003880091,-0.003829226,-0.003104211,-0.003104211,1.007692081,1.118299385,1.58939393,1.274558408,1.992384255
2021/2/24,42,21,30,19,46,-0.001506556,-0.001945952,-0.005913617,-0.003413732,-0.013283536,-0.025467456,-0.014332183,0.01218392,0.001048646,0.001048646,1.006173937,1.116123229,1.579994864,1.270207407,1.965918346
2021/2/25,36,17,31,22,55,-0.009939667,-0.007313378,-0.008554326,-0.00485191,-0.008098685,0.005883143,-0.00566691,-0.013981828,-0.002431775,-0.002431775,0.996172903,1.107960598,1.566479072,1.264044476,1.949996992
2021/2/26,36,17,31,22,55,-0.001183889,0.001439934,0.000980912,-0.005641738,-0.002069737,-0.024279832,-0.020741174,0.022210095,0.018671437,0.018671437,0.994993545,1.109555988,1.56801565,1.256913068,1.945961011
2021/3/1,36,17,31,22,55,0.009019298,0.014374907,0.012174828,0.011308208,0.010691348,0.015368875,0.019497671,-0.004677527,-0.008806322,-0.008806322,1.003967688,1.125505753,1.587105971,1.271126503,1.966765958
2021/3/2,36,17,31,22,55,0.003381428,0.005076798,-0.003839898,0.000891028,0.001806483,-0.012761175,-0.008493567,0.014567658,0.01030005,0.01030005,1.007362532,1.131219719,1.581011647,1.272259112,1.970318887
2021/3/3,36,17,31,22,55,0.006421844,0.003977101,0.009784638,0.01198847,0.009796859,0.019175158,0.01421037,-0.009378299,-0.004413512,-0.004413512,1.013831657,1.135718694,1.596481273,1.287511552,1.989621823
2021/3/4,29,18,31,29,56,-0.004846459,-0.005629892,-0.0020101,-0.004004452,-0.005636225,-0.031455135,-0.018814514,0.025818909,0.013178289,0.013178289,1.008918163,1.129324721,1.593272187,1.282355774,1.978407866
