,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls
2020-10-09,59.0,59.0,59.0,59.0,59.0,0.030684784525100126,0.016325417155401176,0.012311384153516122,0.008333608609440851,0.00670821532696077,0.020434232898809856,0.02672103350827615,-0.013726017571849086,-0.020012818181315378,-0.020012818181315378
2020-10-12,59.0,59.0,59.0,59.0,59.0,0.02179089118260398,0.02223676297435072,0.016215442532966563,0.01294372435544271,0.008140508827559748,0.030338763634499166,0.02881580126990224,-0.02219825480693942,-0.020675292442342494,-0.020675292442342494
2020-10-13,59.0,59.0,59.0,59.0,59.0,0.011701754398462029,0.006547488830409967,0.003090067288605693,0.0016883091818541114,0.0015036160109389684,0.0033256205475249434,0.0015624092289157065,-0.001822004536585975,-5.879321797673813e-05,-5.879321797673813e-05
2020-10-14,59.0,59.0,59.0,59.0,59.0,-0.004502971614520392,-0.0008640722961267226,-0.0014576843011952039,0.0008373856224846235,0.0004425103392463567,-0.006633327822780477,-0.006568061788320034,0.007075838162026834,0.007010572127566391,0.007010572127566391
2020-10-15,59.0,59.0,59.0,59.0,59.0,-0.009458543388012906,0.0038809670493943423,-0.0007644742543048861,0.00192443311744214,0.00081461552303502,-0.001739094256412499,-0.007425822440949137,0.002553709779447519,0.008240437963984156,0.008240437963984156
2020-10-16,59.0,59.0,59.0,59.0,59.0,-0.009055089470068335,-0.002988016536703413,0.0019045878682920194,0.002967048871421509,0.0009767719536272616,-0.001471219528459411,-0.0048544591055162956,0.0024479914820866727,0.005831231059143557,0.005831231059143557
2020-10-19,59.0,59.0,59.0,59.0,59.0,-0.0064453065968447425,0.011121827215433313,0.011850532478333146,-0.002580741885945699,0.0013839237865931613,-0.007552674636035928,-0.010944704044998477,0.008936598422629088,0.012328627831591638,0.012328627831591638
2020-10-20,59.0,59.0,59.0,59.0,59.0,0.02131041966062213,0.023501337602161047,0.008893643505431297,0.008789915096025273,0.007020707251994156,0.00798655869321574,0.010189798563142505,-0.0009658514412215838,-0.003169091311148349,-0.003169091311148349
2020-10-21,59.0,59.0,59.0,59.0,59.0,-0.007678364354454647,0.01069666670443431,0.007899322219267736,-0.0012231974437520712,-0.000775319759326119,-0.00013351496932290097,-0.011380779715745137,-0.0006418047900032181,0.010605459956419018,0.010605459956419018
2020-10-22,59.0,59.0,59.0,59.0,59.0,0.008928338966254706,0.05462462984024848,0.0183734032592342,0.016797041161723064,0.012286515304375693,-0.0030983782024399664,-0.005176369800992453,0.015384893506815659,0.017462885105368146,0.017462885105368146
2020-10-23,59.0,59.0,59.0,59.0,59.0,-0.03824767800502067,-0.036502303932628204,-0.019284028927303416,-0.0002794862586094947,-0.010059775413314568,-0.01245086835859499,-0.016444150359181564,0.0023910929452804226,0.006384374945866996,0.006384374945866996
2020-10-26,59.0,59.0,59.0,59.0,59.0,0.041954832829459617,0.029512866427655337,0.023199624630109737,0.0014972749785014115,0.016264732677915734,-0.005775152644172166,0.00018025963825740732,0.0220398853220879,0.016084473039658327,0.016084473039658327
2020-10-27,59.0,59.0,59.0,59.0,59.0,0.018567761480098456,0.010062867567154417,0.00749582893429619,0.0018986730634664535,0.0026821210557222727,0.0017138325901040474,0.0011199830071544348,0.0009682884656182253,0.001562138048567838,0.001562138048567838
2020-10-28,60.0,61.0,60.0,61.0,60.0,-0.013559662360657814,-0.0022720861317387844,-0.0035035405518864414,-0.006450623518000997,-0.008905781846254311,0.008084217156670848,0.003963776292567278,-0.01698999900292516,-0.01286955813882159,-0.01286955813882159
2020-10-29,60.0,61.0,60.0,61.0,60.0,0.0009071237022457543,-0.0036504671002482677,0.003123171642985193,-0.00026359066604046883,-0.002288518217036817,0.007525431313815778,0.0014713416586615846,-0.009813949530852595,-0.0037598598756984018,-0.0037598598756984018
2020-10-30,60.0,61.0,60.0,61.0,60.0,-0.02177435217034101,-0.02289698210049844,-0.017322942541521662,-0.014909831870594933,-0.01138622025030563,-0.01625629593624034,-0.02297452195696692,0.00487007568593471,0.01158830170666129,0.01158830170666129
